#{"t_start": 1695918032.5395334, "env_id": "None"}
r,l,t
1.12157,500,15.309453
0.405272,500,20.528913
0.425453,500,26.003746
0.612465,500,31.058403
0.764924,500,37.054232
0.594034,500,42.466379
0.176888,500,47.651486
0.710828,500,52.839863
1.004782,500,58.892543
0.665849,500,64.045759
1.873154,500,69.246051
0.83238,500,74.955991
2.329761,500,80.791698
1.303074,500,85.904301
0.370685,500,91.342445
0.16986,500,96.503069
1.822574,500,102.189651
0.319857,500,107.556284
0.619036,500,112.989845
0.828399,500,118.059915
0.640327,500,123.815912
0.612197,500,129.254718
1.272745,500,134.408538
2.08176,500,139.511955
0.17245,500,145.504476
0.779055,500,150.658322
1.740215,500,155.881954
1.399724,500,161.126265
0.511567,500,167.285474
28.543428,500,172.633735
3.492585,500,177.79358
44.211104,500,183.214976
15.087976,500,189.144835
0.181444,500,195.042794
23.190476,500,200.37711
26.73624,500,205.852975
21.212179,500,211.760123
0.585118,500,217.043489
1.645068,500,222.33614
0.228679,500,227.833536
3.513839,500,233.619564
6.00154,500,238.881125
8.806457,500,243.95424
31.337586,500,249.086382
3.353915,500,254.194593
2.517915,500,259.879883
0.667619,500,265.001546
9.405368,500,270.221662
1.337184,500,275.445278
5.011686,500,281.295824
10.476936,500,286.576663
16.546267,500,291.869429
12.873567,500,297.107566
2.476607,500,303.071684
7.601024,500,308.250385
3.699125,500,313.377133
1.415045,500,318.660033
16.264007,500,324.602687
5.628396,500,329.987189
25.056202,500,335.412948
11.381327,500,340.62611
8.122153,500,346.457581
4.618355,500,351.730171
5.446735,500,356.948955
13.330345,500,362.219089
37.677181,500,368.224458
8.0368,500,373.830565
4.456143,500,379.2204
11.138557,500,384.544804
10.35428,500,390.39424
15.472899,500,395.772728
11.679411,500,401.13028
3.107196,500,406.468089
15.131325,500,412.448611
13.036902,500,417.962708
4.362375,500,423.433068
46.316753,500,429.17393
36.153567,500,435.19699
17.920656,500,440.662873
14.315301,500,445.913883
23.23564,500,451.28677
48.736172,500,457.596454
1.89765,500,463.180033
14.341377,500,468.585064
3.963857,500,474.082787
1.261318,500,479.351665
7.068221,500,485.356868
43.09031,500,490.843404
12.019568,500,496.367854
88.122795,500,502.044917
7.882112,500,508.072638
8.772986,500,513.344878
26.629662,500,518.881584
2.971403,500,524.196725
61.698453,500,530.256369
18.556201,500,535.572637
0.252397,500,541.148155
5.530468,500,546.495774
0.970195,500,552.506598
27.90011,500,557.928371
35.456194,500,563.451601
21.366457,500,568.929563
46.22343,500,574.942008
51.192317,500,580.595377
20.629293,500,586.059246
127.999904,500,591.874929
25.750931,500,597.949964
49.909985,500,603.582112
12.139559,500,609.189154
54.60456,500,614.849905
8.0169,500,621.207475
8.914361,500,626.846164
19.449094,500,632.188346
16.920121,500,637.613827
6.630829,500,643.40353
61.037713,500,648.820004
27.448869,500,654.582024
16.46972,500,659.971447
2.245949,500,665.70182
35.207873,500,671.201623
11.834044,500,676.750943
25.937582,500,682.238796
79.05599,500,688.605224
28.481195,500,693.979404
33.115797,500,699.469332
31.675166,500,705.001016
8.91616,500,711.047333
30.575003,500,716.773271
53.020985,500,722.418566
15.10296,500,727.763645
100.655816,500,733.589435
13.205698,500,739.426876
18.101641,500,744.784531
8.289191,500,750.185263
16.09489,500,755.527664
44.390622,500,761.708004
86.619939,500,767.462527
38.139343,500,772.719842
32.173004,500,778.599291
68.893953,500,784.936625
89.087915,500,790.501236
44.711992,500,796.175112
116.976569,500,802.023245
13.242201,500,807.992213
95.624459,500,813.598885
18.06227,500,818.773922
21.700866,500,824.07595
17.529315,500,830.17846
8.239731,500,835.401002
34.989358,500,840.801782
18.783571,500,846.132903
44.00099,500,852.044484
31.897933,500,857.302191
14.475846,500,862.509718
43.565591,500,867.945352
33.085056,500,873.834746
67.164776,500,879.604871
28.211424,500,885.181042
10.591608,500,890.557095
70.9235,500,896.729029
14.120846,500,902.314646
48.089368,500,907.864638
20.172886,500,913.281097
135.560648,500,919.625126
11.197293,500,925.208236
39.406617,500,930.922053
10.019092,500,936.285598
86.359948,500,942.593185
4.456672,500,947.909271
14.623095,500,953.21774
18.487474,500,958.726116
5.649791,500,964.134251
3.082981,500,970.129663
86.645733,500,975.672391
22.960701,500,981.045981
58.140741,500,986.473834
19.99007,500,992.714635
52.001589,500,998.45773
12.589266,500,1003.683779
12.809888,500,1008.932089
18.74567,500,1014.956888
34.073803,500,1020.476758
57.340658,500,1026.177929
24.463629,500,1031.72999
29.264952,500,1037.717354
52.628007,500,1043.162172
14.203106,500,1048.6668
32.613719,500,1054.125057
113.558806,500,1060.495581
8.11741,500,1065.775089
27.885878,500,1071.173573
80.30139,500,1077.046392
11.258639,500,1083.131265
11.464891,500,1088.416097
113.7534,500,1093.975819
90.123792,500,1099.486029
97.831874,500,1105.67476
14.096496,500,1110.878399
116.167541,500,1116.636856
16.971941,500,1121.940235
27.647811,500,1127.867163
33.351551,500,1133.305147
11.177684,500,1138.469424
24.250617,500,1143.714099
112.445553,500,1150.090991
68.748115,500,1155.678782
69.680238,500,1161.147272
52.331676,500,1166.59602
6.200276,500,1172.535785
77.561404,500,1178.060038
14.246361,500,1183.68423
61.011626,500,1189.27453
85.617929,500,1195.330002
1.421396,500,1200.447407
44.024866,500,1206.012132
9.014732,500,1211.548082
17.785641,500,1216.802565
7.024815,500,1222.553967
26.684612,500,1227.968417
46.157963,500,1233.429969
52.416811,500,1238.77674
54.382939,500,1244.800859
27.553799,500,1250.587495
82.53099,500,1255.944443
15.587687,500,1261.454396
38.397458,500,1267.78756
63.834001,500,1273.237032
33.443196,500,1278.957197
106.854586,500,1284.572168
45.17842,500,1290.509718
13.542341,500,1295.906676
20.218232,500,1301.447101
12.353672,500,1306.855654
32.459455,500,1312.773394
12.87886,500,1318.495863
23.081247,500,1323.835195
13.242437,500,1329.155659
24.836491,500,1335.492403
47.524499,500,1341.017135
14.961958,500,1346.41239
8.080626,500,1352.159491
19.654824,500,1358.209206
26.112736,500,1363.806864
36.419726,500,1369.282473
25.35489,500,1374.664927
16.915242,500,1380.809072
23.739278,500,1386.253734
11.895179,500,1391.892062
40.674907,500,1397.401138
46.750574,500,1403.346852
18.279288,500,1408.57167
57.392966,500,1414.118487
11.861544,500,1419.560486
28.78637,500,1425.764175
30.918878,500,1431.309277
18.215424,500,1436.538659
24.881893,500,1442.044868
5.396476,500,1447.294394
45.811226,500,1453.40781
67.06455,500,1459.148328
15.719594,500,1464.576484
47.67331,500,1470.041972
4.093259,500,1476.113629
62.158002,500,1481.660336
27.208924,500,1487.157923
21.08803,500,1492.573581
90.998601,500,1498.776321
28.071149,500,1504.347081
3.132242,500,1509.65007
68.645171,500,1515.140652
11.896075,500,1521.030422
40.731317,500,1526.461544
34.630575,500,1531.880325
19.127965,500,1537.281067
60.804697,500,1543.601841
3.548803,500,1548.759303
26.66648,500,1554.156502
14.183855,500,1559.56905
11.862235,500,1565.437646
4.963493,500,1570.695855
47.475464,500,1576.325228
52.713424,500,1581.825599
5.953224,500,1587.854726
7.776972,500,1593.079777
6.712308,500,1598.198621
43.692405,500,1603.70373
31.572196,500,1609.805219
47.510344,500,1615.306208
21.957119,500,1620.540403
49.497832,500,1625.950623
26.191423,500,1632.032168
5.109394,500,1637.276345
66.065246,500,1642.802602
10.886237,500,1648.044741
66.177835,500,1654.157903
57.419353,500,1659.605379
73.661244,500,1665.342489
22.105235,500,1670.979556
64.157262,500,1676.602915
19.661813,500,1682.602728
57.532827,500,1688.11103
78.263547,500,1693.722565
27.211637,500,1699.426678
27.827394,500,1705.53134
31.708591,500,1711.00617
6.241024,500,1716.248806
2.496224,500,1721.589614
2.916381,500,1727.443578
66.060298,500,1732.937867
26.090995,500,1738.394307
67.322331,500,1744.105753
46.961252,500,1750.153017
69.938038,500,1755.978744
14.207365,500,1761.478808
34.481098,500,1767.138387
43.823829,500,1773.441147
9.822655,500,1778.77034
50.84836,500,1784.61827
10.272791,500,1790.135807
47.876297,500,1796.187477
78.78413,500,1801.836455
97.972351,500,1807.378804
43.971385,500,1813.160413
56.671662,500,1819.789282
110.783515,500,1825.377369
15.29352,500,1830.884643
124.385511,500,1836.52668
83.41839,500,1842.917459
49.824062,500,1848.728317
73.022257,500,1854.491683
121.549231,500,1860.113598
86.125366,500,1866.370917
62.382477,500,1872.374294
41.545423,500,1877.981595
10.332394,500,1883.47301
46.171797,500,1889.887149
43.980698,500,1895.764205
66.451066,500,1901.719795
28.543819,500,1907.546875
42.276235,500,1914.016082
32.142699,500,1919.910491
11.266109,500,1925.315611
40.773294,500,1931.183769
19.721592,500,1936.766923
68.137202,500,1942.955568
27.584079,500,1948.59276
55.707383,500,1954.067576
40.440996,500,1959.789736
55.958329,500,1966.347067
21.40684,500,1971.90457
27.392796,500,1977.504427
15.353202,500,1982.960365
92.353992,500,1989.067988
31.36262,500,1994.735202
24.267764,500,2000.139833
51.977529,500,2005.521703
38.901061,500,2011.82173
47.194038,500,2017.535358
53.953179,500,2023.134555
28.617123,500,2028.81875
60.162361,500,2034.930281
34.171368,500,2040.57964
19.452793,500,2046.186316
45.361368,500,2052.011621
47.686985,500,2058.224845
34.390465,500,2063.827595
48.699187,500,2069.55274
40.153715,500,2075.141089
69.277942,500,2081.688404
75.631291,500,2087.23315
31.454322,500,2092.860481
72.331814,500,2098.404396
55.008935,500,2104.519895
31.263407,500,2110.12369
34.330575,500,2115.476908
41.528471,500,2120.999033
19.610042,500,2127.110553
100.094482,500,2132.506802
16.27672,500,2137.96216
41.610736,500,2143.577447
32.86886,500,2149.770808
48.050661,500,2155.236347
11.101928,500,2160.462596
5.219811,500,2165.827503
27.443769,500,2171.209611
9.389157,500,2177.279877
17.613585,500,2182.720895
31.737114,500,2188.085835
35.138761,500,2193.582717
8.184664,500,2199.573497
58.927146,500,2204.897128
84.760107,500,2210.41361
49.036264,500,2215.952087
50.707548,500,2221.984841
46.889279,500,2227.684893
