#{"t_start": 1695914724.46529, "env_id": "None"}
r,l,t
213.663539,500,39.419664
211.535481,500,45.440173
220.780644,500,51.500516
207.849884,500,57.894091
226.545555,500,64.547653
206.52034,500,70.684351
223.321033,500,76.792313
247.10159,500,82.922012
216.635613,500,89.721926
208.752626,500,95.934499
214.218761,500,102.008859
187.559725,500,108.140237
199.728114,500,114.916104
231.700816,500,121.21584
272.64784,500,127.274131
249.343228,500,133.392067
252.218524,500,140.084744
240.575129,500,146.204835
191.216479,500,152.809812
190.962699,500,159.352581
216.905193,500,166.091409
258.788202,500,172.291671
248.376253,500,178.4029
173.398927,500,184.518876
229.499993,500,191.438221
207.263811,500,197.519077
245.317541,500,204.157035
197.72747,500,210.864666
200.896411,500,217.77845
243.391439,500,223.909842
234.548813,500,230.02965
268.289532,500,236.770962
251.868569,500,243.496588
225.360019,500,249.672942
211.793875,500,256.270967
223.133293,500,262.719398
190.504042,500,269.854022
220.718592,500,275.925659
197.797512,500,282.008042
218.091149,500,288.073035
237.338956,500,295.088313
236.112889,500,301.340408
214.568992,500,307.557978
217.400832,500,313.69535
270.377241,500,319.724709
226.486075,500,326.342648
286.083405,500,332.57217
218.731142,500,338.646198
239.567695,500,344.881953
258.114017,500,351.902082
269.631546,500,358.028872
233.117979,500,364.305904
283.215686,500,370.489937
254.020284,500,377.237006
216.089457,500,383.560969
218.873479,500,389.726831
216.742733,500,395.941418
244.710409,500,402.856646
263.505497,500,408.999543
183.950968,500,415.11126
162.072221,500,421.42098
168.758662,500,428.177087
234.011157,500,434.442087
260.687124,500,440.597165
192.759517,500,446.851269
237.530604,500,453.66991
234.723735,500,459.840496
235.358318,500,466.078156
249.589637,500,472.36669
202.527761,500,479.05482
205.074981,500,485.09015
266.037294,500,491.106457
227.55372,500,497.352198
262.87779,500,503.936191
226.535679,500,510.112001
245.638987,500,516.143688
231.295239,500,522.163193
251.586192,500,528.834942
188.691566,500,535.026801
184.369756,500,541.103283
252.919911,500,547.197424
244.146126,500,553.802313
239.34398,500,559.920977
224.906699,500,566.057798
281.24284,500,572.247315
206.024642,500,578.277155
235.454628,500,584.902648
249.596483,500,590.934896
225.743243,500,597.081952
278.607712,500,603.111737
247.623416,500,609.783685
229.254878,500,615.972632
191.817936,500,622.106549
209.893187,500,628.201463
197.669667,500,634.895993
237.816513,500,640.96316
209.06156,500,647.044749
170.437548,500,653.092767
186.054951,500,659.997693
198.533527,500,666.094895
178.845838,500,672.19108
225.146514,500,678.20738
232.619459,500,684.866291
231.640163,500,691.072058
294.585133,500,697.113168
221.477229,500,703.197004
253.074867,500,709.846261
176.237711,500,716.001517
226.649501,500,722.079138
186.867716,500,728.163269
220.223799,500,735.240497
227.618674,500,741.280426
239.883604,500,747.491576
238.388149,500,753.64009
195.809424,500,760.523774
231.533471,500,766.658729
215.424803,500,773.128324
255.071156,500,779.415489
222.337725,500,786.064579
221.437903,500,792.192612
166.177137,500,798.584263
215.390009,500,804.668318
212.616063,500,811.506768
216.857804,500,818.102321
228.301683,500,824.610746
230.73249,500,831.638783
212.086496,500,838.382085
245.615731,500,844.611246
225.423345,500,851.078326
214.343228,500,857.32585
276.817748,500,863.598894
217.12736,500,870.605363
246.832448,500,877.013529
170.670748,500,883.752324
217.666149,500,890.30261
224.591187,500,897.250618
223.180502,500,904.155069
218.623305,500,910.99849
264.572933,500,917.10018
239.059114,500,923.941783
268.107636,500,930.557473
265.125595,500,936.677708
265.919482,500,942.85142
246.301501,500,950.037943
253.090377,500,956.491551
279.942911,500,962.74297
246.359989,500,969.119925
276.315256,500,975.945658
